SYMBOL,"SUM OPTSTK,CE1","SUM OPTSTK,PE1","SUM FUTSTK,XX1","SUM FUTSTK,XX2","SUM FUTSTK,XX3","SUM FUTSTK,XX4","SUM FUTSTK,XX5","SUM FUTSTK,XX6","SUM FUTSTK,XX7","SUM FUTSTK,XX8","SUM FUTSTK,XX9","SUM FUTSTK,XX10","SUM AVG,VAL_INLAKH1","SUM AVG,VAL_INLAKH2","SUM AVG,VAL_INLAKH3","SUM AVG,VAL_INLAKH4","SUM AVG,VAL_INLAKH5","SUM AVG,VAL_INLAKH6","SUM AVG,VAL_INLAKH7","SUM AVG,VAL_INLAKH8","SUM AVG,VAL_INLAKH9","SUM AVG,VAL_INLAKH10","SUM OPTIDX,CE1","SUM OPTIDX,PE1","SUM FUTIDX,XX1","SUM %OICOPTSTK,CE1","SUM %OICOPTSTK,PE1","SUM %OICFUTSTK,XX1","SUM %OICOPTIDX,CE1","SUM %OICOPTIDX,PE1","SUM %OICFUTIDX,XX1","SUM PCROPTSTK1"
BANKNIFTY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51021925,38194450,2135700,0.0000,0.0000,0.0000,123.3257,115.1955,0.2472,NULL
FINNIFTY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,460160,470720,11000,0.0000,0.0000,0.0000,90.0795,584.2586,0.1244,NULL
MIDCPNIFTY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,NULL
NIFTY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127934625,144320975,12678300,0.0000,0.0000,0.0000,142.3093,110.4336,0.0719,NULL
AARTIIND,902700,575450,1923550,1894650,1960950,1983050,1813050,1695750,1515550,1496000,1080350,578000,-5185.45,10336.91,-4166.650000000001,3710.5,-6848.7300000000005,6637.78,-684.22,7171.33,-10321.48,7284.76,0,0,0,6.9641,10.5562,0.3069,0.0000,0.0000,0.0000,0.6375
ABB,229750,148250,1406250,1402250,1371000,1328750,1271250,1074500,714250,713250,282000,86750,-10089.69,27283.86,14285.199999999999,15796.78,14083.980000000001,18553.55,-352.54,-21673.05,12748.43,1316.14,0,0,0,3.0204,0.8079,0.0372,0.0000,0.0000,0.0000,0.6453
ABBOTINDIA,7200,2200,52160,52680,56760,52000,52600,37520,19280,18920,11760,5600,-2040.76,6179.6900000000005,-4603.84,-3559.3799999999997,-8464.66,7752.9,-435.85,3218.99,1740.16,638.17,0,0,0,0.8141,0.1905,1.0746,0.0000,0.0000,0.0000,0.3056
ABCAPITAL,10076400,5081400,22950000,22739400,21708000,21405600,21076200,16048800,7133400,6820200,4784400,3375000,-4331.01,11256.64,-3858.89,8640.18,-14590.72,18067.55,-2081.18,4792.17,4297.969999999999,1763.66,0,0,0,0.2431,0.6289,0.1776,0.0000,0.0000,0.0000,0.5043
ABFRL,2771600,1786200,8296600,8481200,8385000,7334600,7321600,6115200,3931200,3894800,1554800,475800,10604.39,-20478.65,26537.99,-7955.419999999999,-17932.07,13787.07,-1551.1100000000001,13987.27,6504.92,1353.78,0,0,0,1.3672,4.7763,0.2452,0.0000,0.0000,0.0000,0.6445
ACC,727000,505000,3839500,3949000,3984500,4022250,4162250,3216500,2282250,2265750,1445250,1050250,-20341.82,-35362.469999999994,32288.36,-25208.94,54827.799999999996,34315.21,-1194.86,29973.059999999998,15424.130000000001,11972.92,0,0,0,16.3489,11.3269,0.1900,0.0000,0.0000,0.0000,0.6946
ADANIENT,4820500,3472000,13774250,13946500,14114750,14287000,14073500,11603000,8309000,8208000,5910000,2582000,-168747.66,291411.96,-55356.69,121845.31000000001,220246.58,164365.96,-9529.68,-129273.55,149822.12000000002,45802.29,0,0,0,10.5247,10.0648,0.6951,0.0000,0.0000,0.0000,0.7203
ADANIPORTS,15924375,8733125,71305000,70343750,70016875,69382500,68987500,59785000,48930000,48821250,41976250,38461250,-161183.56,124607.09,-56028.94,-103792.53,213865.21,126205.12000000001,-7202.7,-86952.2,50792.05,38868.899999999994,0,0,0,37.8254,13.5201,0.8955,0.0000,0.0000,0.0000,0.5484
ALKEM,49000,25000,303800,299400,256800,243000,229800,210400,179800,178600,75600,35400,7895.400000000001,6011.67,-2544.87,1827.37,-5764.45,6662.219999999999,-141.37,-6380.19,2558.23,929.87,0,0,0,8.9664,22.7163,0.4723,0.0000,0.0000,0.0000,0.5102
AMARAJABAT,1927000,1098000,5845000,5767000,5744000,5713000,5587000,4938000,3834000,3750000,3195000,2840000,-3987.3,5968.89,5207.639999999999,-4376.490000000001,-15093.74,14917.76,-892.2099999999999,11312.59,-8882.210000000001,2231.9900000000002,0,0,0,2.0678,8.3709,0.0196,0.0000,0.0000,0.0000,0.5698
AMBUJACEM,12915000,8326800,64099800,65316600,65395800,65907000,64854000,51456600,28382400,27714600,14277600,6782400,-81326.69,-96581.86,106479.41,-77619.51,198951.97,161858.18000000002,-10730.94,109158.48,-50208.270000000004,21821.93,0,0,0,4.2575,6.8823,0.1037,0.0000,0.0000,0.0000,0.6447
APOLLOHOSP,788500,428125,1649125,1628875,1553000,1522750,1430000,1257250,1006875,1010000,565500,311625,27933.37,32080.679999999997,-19717.67,30327.960000000003,22528.45,-19980.43,-1288.54,27694.75,15413.63,12882.970000000001,0,0,0,18.0211,16.0617,0.5261,0.0000,0.0000,0.0000,0.5430
