SYMBOL,STRIKE_PR,"OPTSTK,CE1","OPTSTK,PE1","FUTSTK,XX1","FUTSTK,XX2","FUTSTK,XX3","FUTSTK,XX4","FUTSTK,XX5","FUTSTK,XX6","FUTSTK,XX7","FUTSTK,XX8","FUTSTK,XX9","FUTSTK,XX10","AVG,VAL_INLAKH1","AVG,VAL_INLAKH2","AVG,VAL_INLAKH3","AVG,VAL_INLAKH4","AVG,VAL_INLAKH5","AVG,VAL_INLAKH6","AVG,VAL_INLAKH7","AVG,VAL_INLAKH8","AVG,VAL_INLAKH9","AVG,VAL_INLAKH10","OPTIDX,CE1","OPTIDX,PE1","FUTIDX,XX1","%OICOPTSTK,CE1","%OICOPTSTK,PE1","%OICFUTSTK,XX1","%OICOPTIDX,CE1","%OICOPTIDX,PE1","%OICFUTIDX,XX1",PCROPTSTK1
BANKNIFTY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2041575,0.0000,0.0000,0.0000,0.0000,0.0000,0.0920,NULL
FINNIFTY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5120,0.0000,0.0000,0.0000,0.0000,0.0000,-0.3842,NULL
MIDCPNIFTY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,NULL
NIFTY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12300900,0.0000,0.0000,0.0000,0.0000,0.0000,0.2272,NULL
AARTIIND,0,0,0,1983050,1813050,1695750,1515550,1496000,1080350,578000,212500,653650,754800,3710.5,-6848.7300000000005,6637.78,-684.22,7171.33,-10321.48,7284.76,6852.67,3188.33,703.99,0,0,0,0.0000,0.0000,0.2793,0.0000,0.0000,0.0000,NULL
ABB,0,0,0,1328750,1271250,1074500,714250,713250,282000,86750,68250,36250,35000,15796.78,14083.980000000001,18553.55,-352.54,-21673.05,12748.43,-1316.14,2438.29,-842.97,1119.27,0,0,0,0.0000,0.0000,1.2943,0.0000,0.0000,0.0000,NULL
ABBOTINDIA,0,0,0,52000,52600,37520,19280,18920,11760,5600,4680,3760,2880,-3559.3799999999997,-8464.66,7752.9,-435.85,3218.99,1740.16,-638.17,-512.43,366.5,102.27,0,0,0,0.0000,0.0000,0.3863,0.0000,0.0000,0.0000,NULL
ABCAPITAL,0,0,0,21405600,21076200,16048800,7133400,6820200,4784400,3375000,2651400,1501200,874800,8640.18,-14590.72,18067.55,-2081.18,4792.17,4297.969999999999,-1739.24,-2238.7900000000004,1180.72,420.71,0,0,0,0.0000,0.0000,0.2746,0.0000,0.0000,0.0000,NULL
ABFRL,0,0,0,7334600,7321600,6115200,3931200,3894800,1554800,475800,377000,286000,265200,-7955.419999999999,-17932.07,13787.07,-1551.1100000000001,13987.27,6504.92,-1353.78,1819.71,-665.87,685.35,0,0,0,0.0000,0.0000,0.2861,0.0000,0.0000,0.0000,NULL
ACC,0,0,0,4022250,4162250,3216500,2282250,2265750,1445250,1050250,773500,222000,116750,-25208.94,54827.799999999996,34315.21,-1194.86,29973.059999999998,15424.130000000001,-11972.92,-16089.54,8333.4,1101.41,0,0,0,0.0000,0.0000,-0.0172,0.0000,0.0000,0.0000,NULL
ADANIENT,0,0,0,14287000,14073500,11603000,8309000,8208000,5910000,2582000,1633000,648000,476000,121845.31000000001,220246.58,164365.96,-9529.68,-129273.55,149822.12000000002,-45802.29,-48019.59,19591.73,7007.889999999999,0,0,0,0.0000,0.0000,0.1366,0.0000,0.0000,0.0000,NULL
ADANIPORTS,0,0,0,69382500,68987500,59785000,48930000,48821250,41976250,38461250,35812500,2062500,1733750,-103792.53,213865.21,126205.12000000001,-7202.7,-86952.2,50792.05,-38868.899999999994,286959.14,-9559.62,6840.04,0,0,0,0.0000,0.0000,0.0460,0.0000,0.0000,0.0000,NULL
ALKEM,0,0,0,243000,229800,210400,179800,178600,75600,35400,19200,16000,10400,1827.37,-5764.45,6662.219999999999,-141.37,-6380.19,2558.23,-905.4899999999999,345.59,-410.43,199.14,0,0,0,0.0000,0.0000,0.0581,0.0000,0.0000,0.0000,NULL
AMARAJABAT,0,0,0,5713000,5587000,4938000,3834000,3750000,3195000,2840000,2561000,2401000,2123000,-4376.490000000001,-15093.74,14917.76,-892.2099999999999,11312.59,-8882.210000000001,2231.9900000000002,-1401.2,-2474.2799999999997,5929.41,0,0,0,0.0000,0.0000,0.0867,0.0000,0.0000,0.0000,NULL
AMBUJACEM,0,0,0,65907000,64854000,51456600,28382400,27714600,14277600,6782400,4930200,1981800,1447200,-77619.51,198951.97,161858.18000000002,-10730.94,109158.48,-50208.270000000004,-21821.93,-22498.03,11454.25,2009.1100000000001,0,0,0,0.0000,0.0000,0.1454,0.0000,0.0000,0.0000,NULL
APOLLOHOSP,0,0,0,1522750,1430000,1257250,1006875,1010000,565500,311625,73000,62125,55125,30327.960000000003,22528.45,-19980.43,-1288.54,27694.75,15413.63,-12882.970000000001,2272,1055.04,811.08,0,0,0,0.0000,0.0000,1.2985,0.0000,0.0000,0.0000,NULL
APOLLOTYRE,0,0,0,12740000,11966500,9198000,4235000,4168500,2765000,1792000,752500,633500,581000,-15633.03,-25874.879999999997,26120.53,-921.64,-11596.4,9137.099999999999,8131.65,-2680.87,1159.39,704.3100000000001,0,0,0,0.0000,0.0000,0.4226,0.0000,0.0000,0.0000,NULL
ASHOKLEY,0,0,0,60095000,56955000,49815000,30505000,30235000,13875000,6685000,3805000,2845000,2445000,31320.219999999998,-36742.86,49362.979999999996,-2872.66,36560.39,-18934.75,7560.150000000001,-3823.3399999999997,2696.73,1360.07,0,0,0,0.0000,0.0000,0.2274,0.0000,0.0000,0.0000,NULL
ASIANPAINT,0,0,0,6444200,6323600,5215400,4007800,4020600,2430800,768400,403400,363200,217800,-32604.480000000003,86043.90999999999,66654.36,-5927.2699999999995,-87782.92,86632.3,17795.550000000003,-5281.13,-9009.04,5074.48,0,0,0,0.0000,0.0000,0.2937,0.0000,0.0000,0.0000,NULL
ASTRAL,0,0,0,1496000,1486100,1125575,915200,920425,463925,154275,93225,59675,38225,8697.58,16363.26,12122.51,-478.86,16997.96,-13147.2,3425.7999999999997,-1847.57,1557.52,690.4300000000001,0,0,0,0.0000,0.0000,0.0926,0.0000,0.0000,0.0000,NULL
ATUL,0,0,0,153825,149775,117375,94950,93375,29400,12300,8700,7650,4200,-2770.76,10170.36,5673.43,-219.88,12348.22,-3153.59,-855.39,176.6,-518.47,266.79,0,0,0,0.0000,0.0000,0.1267,0.0000,0.0000,0.0000,NULL
AUBANK,0,0,0,7287000,6997000,6185000,4857000,4675000,3039000,939000,466000,429000,278000,10750.130000000001,-20933.440000000002,20296.04,-2545.6099999999997,-23089.379999999997,25668,4860,-1473.17,-3083.2999999999997,1601.4299999999998,0,0,0,0.0000,0.0000,0.2957,0.0000,0.0000,0.0000,NULL
AUROPHARMA,0,0,0,12593000,12503000,10386000,6862000,6810000,3603000,1866000,1417000,1062000,978000,-6238.05,26126.67,-28691.99,-660.65,-22565.35,14133.07,-4362.06,-3230.42,-1274.8999999999999,964.18,0,0,0,0.0000,0.0000,0.1054,0.0000,0.0000,0.0000,NULL
AXISBANK,0,0,0,41058000,41713200,38917200,32012400,31584000,17766000,8893200,6208800,4342800,3540000,-122635.73000000001,223420.63,-210002.27,-26152.57,373449.98,-110921.93,50547.72,-27200.519999999997,-15140.19,13432.58,0,0,0,0.0000,0.0000,0.1055,0.0000,0.0000,0.0000,NULL
BAJAJ-AUTO,0,0,0,1504000,1566250,1521750,1264000,1280500,930500,797000,758750,759750,695000,-28052.89,32383.289999999997,39337.38,-2321.6099999999997,-33990.5,27581.74,12723.050000000001,-5507.56,-6223.469999999999,2815.42,0,0,0,0.0000,0.0000,0.5627,0.0000,0.0000,0.0000,NULL
BAJAJFINSV,0,0,0,6558500,6673500,5703000,4335500,4375000,2546000,1323000,922500,759500,500500,-28200.92,46680.009999999995,47102.41,-4674.5,62891.450000000004,36084.01,11892.86,-7646.42,7673.58,2390.66,0,0,0,0.0000,0.0000,0.1822,0.0000,0.0000,0.0000,NULL
BAJFINANCE,0,0,0,5021000,5151875,4047750,3168375,3090250,1517625,947250,414375,242125,189125,-95692.43000000001,200624.89,120537.16,-20920.510000000002,200853.76,66727.01,-48595.29,-24338.03,12076.279999999999,8064.110000000001,0,0,0,0.0000,0.0000,0.1516,0.0000,0.0000,0.0000,NULL
BALKRISIND,0,0,0,2063100,1995300,1750800,1332900,1321200,853800,315600,150300,102900,86700,-6874.45,-17124.06,19030.710000000003,834.02,-14030.79,15503.23,5975.19,1556.11,-628.46,1100.02,0,0,0,0.0000,0.0000,0.1862,0.0000,0.0000,0.0000,NULL
BALRAMCHIN,0,0,0,9337600,8131200,5233600,3099200,3033600,1985600,1328000,801600,496000,358400,19373.82,17208.11,10713.949999999999,-479.58,7127.34,-4090.0699999999997,3304.51,-1927.58,-1006.1500000000001,497.47,0,0,0,0.0000,0.0000,1.1009,0.0000,0.0000,0.0000,NULL
BANDHANBNK,0,0,0,27451800,25961400,21474000,11971800,11233800,6060600,3130200,2167200,887400,592200,72766.8,-56487.700000000004,-40867.63,3632.21,22655.8,-12409.89,4801.83,-7568.09,1765.59,747.8000000000001,0,0,0,0.0000,0.0000,0.5708,0.0000,0.0000,0.0000,NULL
BANKBARODA,0,0,0,109827900,111536100,95928300,65695500,64396800,38346750,11454300,4814550,4077450,1942200,53930.74,-92820.87999999999,111466.68999999999,-5376.75,-65375.11,55452.07,-16882.04,-7198.89,7649.01,1876.41,0,0,0,0.0000,0.0000,0.0725,0.0000,0.0000,0.0000,NULL
BATAINDIA,0,0,0,1564475,1560075,1228700,616275,610775,424875,231275,77825,60225,56925,8853.150000000001,-13863.87,17437.02,-429.75,7793.0199999999995,6410.85,-4095.02,-1524.5200000000002,1203.3300000000002,861.5799999999999,0,0,0,0.0000,0.0000,0.0525,0.0000,0.0000,0.0000,NULL
BEL,0,0,0,81042600,79207200,61126800,35716200,35237400,20930400,10134600,5791200,4229400,3716400,34116.53999999999,97296.75,45368.29,-2955.48,42713.75,-29642.88,-14817.92,6987.87,2409.7999999999997,1763.33,0,0,0,0.0000,0.0000,0.2543,0.0000,0.0000,0.0000,NULL
BERGEPAINT,0,0,0,8759300,8671300,6983900,4776200,4798200,1936000,466400,287100,213400,202400,-7702.249999999999,24998.71,21216.690000000002,-1528.02,31799.1,13979.23,2339.23,-1396.6200000000001,869,375.09999999999997,0,0,0,0.0000,0.0000,0.1026,0.0000,0.0000,0.0000,NULL
BHARATFORG,0,0,0,8112000,7918000,6888000,4973000,4952000,2768000,1138000,442000,308000,279000,-45166.829999999994,-50663.23,54066.46,-2261.01,27186.21,-22743.84,13049.71,-3403.3199999999997,1766.26,1336.28,0,0,0,0.0000,0.0000,0.6980,0.0000,0.0000,0.0000,NULL
BHARTIARTL,0,0,0,39975050,39298650,34103100,22686950,22735400,15724400,7152550,3629950,1908550,1580800,-41251.02,165766.87,-147935.77000000002,-6779.37,-84955.47,122242.59,-31661.440000000002,-20172.32,-4626.22,3135.27,0,0,0,0.0000,0.0000,0.3230,0.0000,0.0000,0.0000,NULL
BHEL,0,0,0,130368000,123501000,129916500,35994000,36057000,36477000,37096500,37779000,7507500,6163500,54651.71,-12714.11,126456.41,-41.88,297.66999999999996,-414.76,-487.36,36509.41,3502.49,2056.85,0,0,0,0.0000,0.0000,0.5843,0.0000,0.0000,0.0000,NULL
BIOCON,0,0,0,21645300,21307200,18064200,12728200,12470600,8459400,4970300,4190600,3898500,3452300,-7662.39,-32432.099999999995,27065.140000000003,-1520.77,-20923.710000000003,-21496.8,6317.51,-2362.3399999999997,3845.7400000000002,3736.69,0,0,0,0.0000,0.0000,0.1072,0.0000,0.0000,0.0000,NULL
BOSCHLTD,0,0,0,208500,189300,139450,79600,78600,43500,18550,12500,6250,5800,19373.77,17497.739999999998,17912.04,-727.95,9352.369999999999,7146.2,2270.74,-1594.82,-662.24,409.21,0,0,0,0.0000,0.0000,0.8008,0.0000,0.0000,0.0000,NULL
BPCL,0,0,0,16702200,15894000,11439000,8942400,8911800,6328800,4408200,2426400,1944000,1409400,10218.27,-32808.94,21711.37,-1176.6299999999999,-19360.3,20004.45,10172.16,-2791.61,-2653.27,1160.57,0,0,0,0.0000,0.0000,0.1326,0.0000,0.0000,0.0000,NULL
BRITANNIA,0,0,0,1355800,1358200,1222800,972600,971800,664200,509000,348200,340400,280400,-10986.4,-26649.190000000002,-19258.94,1665.43,-21469.37,17151.69,-8714.66,2812.53,3279.19,3207.4399999999996,0,0,0,0.0000,0.0000,1.5845,0.0000,0.0000,0.0000,NULL
BSOFT,0,0,0,10188800,9781200,7547800,3415100,3333200,2402400,1790100,1380600,1037400,889200,7394.13,-13542.22,19120.33,-1178.34,-5738.29,6224.94,4276.82,2499.87,-1323.5500000000002,2053.12,0,0,0,0.0000,0.0000,0.2915,0.0000,0.0000,0.0000,NULL
CANBK,0,0,0,42781500,40891500,38971800,26327700,24867000,14469300,7589700,4824900,1884600,1217700,-89888.68,-119658.81000000001,121519.97,-10190.09,-65569.44,58166.409999999996,-14326.26,-17021.989999999998,6496.870000000001,2156.35,0,0,0,0.0000,0.0000,0.2955,0.0000,0.0000,0.0000,NULL
CANFINHOME,0,0,0,4604925,4559100,3386175,1819350,1762800,1213875,739050,695175,595725,438750,-4244.95,-16447.08,16120.35,-1078.9499999999998,7207.34,4690.9800000000005,-2155.82,-3502.09,3312.27,1028.28,0,0,0,0.0000,0.0000,0.1001,0.0000,0.0000,0.0000,NULL
