SYMBOL,SERIES,CLOSE_PRICE1,CLOSE_PRICE2,CLOSE_PRICE3,CLOSE_PRICE4,CLOSE_PRICE5,CLOSE_PRICE6,CLOSE_PRICE7,CLOSE_PRICE8,CLOSE_PRICE9,CLOSE_PRICE10,%P_CHANGE,TTL_TRD_QNTY1,TTL_TRD_QNTY2,TTL_TRD_QNTY3,TTL_TRD_QNTY4,TTL_TRD_QNTY5,TTL_TRD_QNTY6,TTL_TRD_QNTY7,TTL_TRD_QNTY8,TTL_TRD_QNTY9,TTL_TRD_QNTY10,%TTL_TRD_QNTY_CHANGE,DELIV_QTY1,DELIV_QTY2,DELIV_QTY3,DELIV_QTY4,DELIV_QTY5,DELIV_QTY6,DELIV_QTY7,DELIV_QTY8,DELIV_QTY9,DELIV_QTY10,DELIV_PER1,DELIV_PER2,DELIV_PER3,DELIV_PER4,DELIV_PER5,DELIV_PER6,DELIV_PER7,DELIV_PER8,DELIV_PER9,DELIV_PER10,CASHFLOW1,CASHFLOW2,CASHFLOW3,CASHFLOW4,CASHFLOW5,CASHFLOW6,CASHFLOW7,CASHFLOW8,CASHFLOW9,"SUM FUTSTK,XX1","SUM FUTSTK,XX2","SUM FUTSTK,XX3","SUM FUTSTK,XX4","SUM FUTSTK,XX5","SUM FUTSTK,XX6","SUM FUTSTK,XX7","SUM FUTSTK,XX8","SUM FUTSTK,XX9","SUM FUTSTK,XX10",%OI_CHANGE,"SUM AVG,VAL_INLAKH1","SUM AVG,VAL_INLAKH2","SUM AVG,VAL_INLAKH3","SUM AVG,VAL_INLAKH4","SUM AVG,VAL_INLAKH5","SUM AVG,VAL_INLAKH6","SUM AVG,VAL_INLAKH7","SUM AVG,VAL_INLAKH8","SUM AVG,VAL_INLAKH9","SUM AVG,VAL_INLAKH10",AVG_PRICE1,AVG_PRICE2,AVG_PRICE3,AVG_PRICE4,AVG_PRICE5,AVG_PRICE6,AVG_PRICE7,AVG_PRICE8,AVG_PRICE9,AVG_PRICE10
AARTIIND," EQ",691.9,691.65,687.15,687.15,687.05,677.9,686.6,683.35,744.9,788.05,0.03614544928793465,358846,472206,390032,390032,143061,638757,1583964,4050217,2022998,1918905,-0.2401," 170983"," 155481"," 166907"," 166907"," 76917"," 237482"," 696531"," 1048045"," 823532"," 663828"," 47.65"," 32.93"," 42.79"," 42.79"," 53.77"," 37.18"," 43.97"," 25.88"," 40.71"," 34.59",-117991948.64,107790312.86999999,-114811987.16,114811987.16,52822749.75,-162630048.42,480864106.47,-720635742,-626345497.92,1983050,1813050,1695750,1515550,1496000,1080350,578000,212500,653650,754800,9.3765,3710.5,-6848.7300000000005,6637.78,-684.22,7171.33,-10321.48,7284.76,6852.67,3188.33,703.99,690.08,693.27,687.88,687.88,686.75,684.81,690.37,687.6,760.56,794.89
ABB," EQ",2962.1,3039.4,3055.25,3055.25,3052.8,3041.25,3132.8,3238.3,3211.6,3196.55,-2.5432651181154236,336034,250705,263091,263091,16594,364038,438628,263584,210090,303859,0.3404," 161436"," 151790"," 133628"," 133628"," 8924"," 123149"," 212187"," 125518"," 71489"," 181912"," 48.04"," 60.55"," 50.79"," 50.79"," 53.78"," 33.83"," 48.38"," 47.62"," 34.03"," 59.87",-480380262.12,-461825628.70000005,-407656267.03999996,-407656267.03999996,-27277901.56,-379179465.47,-668401781.22,405089262.12,230416195.9,1328750,1271250,1074500,714250,713250,282000,86750,68250,36250,35000,4.5231,15796.78,14083.980000000001,18553.55,-352.54,-21673.05,12748.43,-1316.14,2438.29,-842.97,1119.27,2975.67,3042.53,3050.68,3050.68,3056.69,3079.03,3150.06,3227.34,3223.1,3190.17
ABBOTINDIA," EQ",18910.8,18878.05,18478.6,18478.6,18355.75,18527.8,18167.95,18220.7,18131.3,18085.4,0.1734819009378617,10557,15080,12937,12937,2072,15569,4470,4177,16424,8136,-0.2999," 4392"," 6627"," 4671"," 4671"," 865"," 7159"," 1367"," 1571"," 9423"," 3634"," 41.60"," 43.95"," 36.11"," 36.11"," 41.75"," 45.98"," 30.58"," 37.61"," 57.37"," 44.67",83289975.84,124356317.69999999,-86316483.33,86316483.33,15957087.5,131514481.08999999,-24865333.57,28615765,171451956.15,52000,52600,37520,19280,18920,11760,5600,4680,3760,2880,-1.1407,-3559.3799999999997,-8464.66,7752.9,-435.85,3218.99,1740.16,-638.17,-512.43,366.5,102.27,18964.02,18765.1,18479.23,18479.23,18447.5,18370.51,18189.71,18215,18195.05,18170.11
ABCAPITAL," EQ",116.25,117.35,115.9,115.9,114.35,111.3,111.4,111.1,112.05,110.4,-0.9373668512995266,2570733,2834659,3139193,3139193,1989245,1388157,948071,984520,1771732,1516290,-0.0931," 893316"," 1152749"," 1156409"," 1156409"," 857968"," 412098"," 227184"," 349761"," 560616"," 454775"," 34.75"," 40.67"," 36.84"," 36.84"," 43.13"," 29.69"," 23.96"," 35.53"," 31.64"," 29.99",104464373.03999999,134249148.54,-133241444.98,133241444.98,97748294.24000001,46076677.38,-25126550.4,39141753.51,62637625.68,21405600,21076200,16048800,7133400,6820200,4784400,3375000,2651400,1501200,874800,1.5629,8640.18,-14590.72,18067.55,-2081.18,4792.17,4297.969999999999,-1739.24,-2238.7900000000004,1180.72,420.71,116.94,116.46,115.22,115.22,113.93,111.81,110.6,111.91,111.73,109.92
ABFRL," EQ",343.3,343.4,338.45,338.45,336.05,331.1,332.6,334.55,335.9,331.85,-0.029120559114725074,1075252,1836351,1389735,1389735,322420,1411295,726638,1190895,1265652,896203,-0.4145," 475652"," 695283"," 708536"," 708536"," 164373"," 549622"," 207701"," 428866"," 263102"," 277578"," 44.24"," 37.86"," 50.98"," 50.98"," 50.98"," 38.94"," 28.58"," 36.01"," 20.79"," 30.97",162901296.96,236896823.76000002,-238146034.96,238146034.96,55099473.33,-181578620.14000002,-69010734.26,144510687.35999998,87697158.64,7334600,7321600,6115200,3931200,3894800,1554800,475800,377000,286000,265200,0.1776,-7955.419999999999,-17932.07,13787.07,-1551.1100000000001,13987.27,6504.92,-1353.78,1819.71,-665.87,685.35,342.48,340.72,336.11,336.11,335.21,330.37,332.26,336.96,333.32,330.86
ACC," EQ",2324.45,2313,2247.5,2247.5,2257.1,2256.55,2287.6,2246.45,2219.25,2270.1,0.4950281020319852,650727,561435,383657,383657,46329,389554,713402,724058,1189726,1512370,0.1590," 261718"," 166064"," 155896"," 155896"," 13673"," 97496"," 292190"," 203685"," 339975"," 309012"," 40.22"," 29.58"," 40.63"," 40.63"," 29.51"," 25.03"," 40.96"," 28.13"," 28.58"," 20.43",605748928.1800001,380309808.96,-352906452.08,352906452.08,-30921489.5,-220986383.51999998,662394730,456523264.20000005,-761554199.2500001,4022250,4162250,3216500,2282250,2265750,1445250,1050250,773500,222000,116750,-3.3636,-25208.94,54827.799999999996,34315.21,-1194.86,29973.059999999998,15424.130000000001,-11972.92,-16089.54,8333.4,1101.41,2314.51,2290.14,2263.73,2263.73,2261.5,2266.62,2267,2241.32,2240.03,2248.94
ADANIENT," EQ",3323.3,3325,3300.5,3300.5,3309.8,3311.9,3357.1,3277.25,3284.3,3212.6,-0.05112781954886671,1323334,1106870,879424,879424,248249,1120790,2211287,1396513,1635079,1985298,0.1956," 291131"," 242693"," 151719"," 151719"," 71874"," 158491"," 730283"," 323969"," 346100"," 274827"," 22.00"," 21.93"," 17.25"," 17.25"," 28.95"," 14.14"," 33.03"," 23.20"," 21.17"," 13.84",971771987.52,806396031.0999999,-502658701.71000004,-502658701.71000004,-238441276.26,528643560.68,2416396904.5499997,1065806174.96,1131331680,14287000,14073500,11603000,8309000,8208000,5910000,2582000,1633000,648000,476000,1.5170,121845.31000000001,220246.58,164365.96,-9529.68,-129273.55,149822.12000000002,-45802.29,-48019.59,19591.73,7007.889999999999,3337.92,3322.7,3313.09,3313.09,3317.49,3335.48,3308.85,3289.84,3268.8,3198.73
ADANIPORTS," EQ",820.3,821.25,800.35,800.35,805.5,801.65,820.05,805.05,809.95,786.2,-0.11567732115677874,6898541,7110289,4485050,4485050,665021,5266210,4481441,5222275,7372253,4602870,-0.0298," 1691030"," 1999130"," 1278059"," 1278059"," 173419"," 1584778"," 874886"," 699347"," 1764161"," 916653"," 24.51"," 28.12"," 28.50"," 28.50"," 26.08"," 30.09"," 19.52"," 13.39"," 23.93"," 19.91",1393594733.3,1616956317.9,-1027354946.5600001,-1027354946.5600001,-139907512.44,-1283495854.42,-709375066.5200001,568170483.2099999,1423766135.05,69382500,68987500,59785000,48930000,48821250,41976250,38461250,35812500,2062500,1733750,0.5726,-103792.53,213865.21,126205.12000000001,-7202.7,-86952.2,50792.05,-38868.899999999994,286959.14,-9559.62,6840.04,824.11,808.83,803.84,803.84,806.76,809.89,810.82,812.43,807.05,783.11
ALKEM," EQ",3112.7,3113.9,3121.1,3121.1,3104.7,3096.35,3099.6,3079.9,3106.3,3122.4,-0.03853688300845476,41523,28392,124788,124788,6253,29306,51928,57298,44614,44816,0.4625," 26441"," 9641"," 89749"," 89749"," 1914"," 9779"," 14020"," 33375"," 23160"," 14526"," 63.68"," 33.96"," 71.92"," 71.92"," 30.61"," 33.37"," 27.00"," 58.25"," 51.91"," 32.41",-82109088.17,30059095.44,-278833988.18,278833988.18,-5940692.34,30417872.87,43430875.6,-103016610,-72001429.2,243000,229800,210400,179800,178600,75600,35400,19200,16000,10400,5.7441,1827.37,-5764.45,6662.219999999999,-141.37,-6380.19,2558.23,-905.4899999999999,345.59,-410.43,199.14,3105.37,3117.84,3106.82,3106.82,3103.81,3110.53,3097.78,3086.64,3108.87,3126.9
AMARAJABAT," EQ",503.9,508.8,508.8,508.8,495.1,492.15,488.55,485.2,490.35,489.85,-0.9630503144654154,261533,601878,678218,678218,98577,271832,230251,386778,254949,233896,-0.5655," 58648"," 177529"," 234933"," 234933"," 60330"," 79279"," 88025"," 157752"," 109528"," 67159"," 22.42"," 29.50"," 34.64"," 34.64"," 61.20"," 29.16"," 38.23"," 40.79"," 42.96"," 28.71",-29654774.72,90395991.51,-118612973.03999999,118612973.03999999,29909804.099999998,39067898.410000004,43031901.5,-76877282.16,53750866,5713000,5587000,4938000,3834000,3750000,3195000,2840000,2561000,2401000,2123000,2.2552,-4376.490000000001,-15093.74,14917.76,-892.2099999999999,11312.59,-8882.210000000001,2231.9900000000002,-1401.2,-2474.2799999999997,5929.41,505.64,509.19,504.88,504.88,495.77,492.79,488.86,487.33,490.75,489.18
