SYMBOL,EXPIRY_DT,"SUM CE,OPEN_INT","SUM PE,OPEN_INT","%D_CE,OPEN_INT","%D_PE,OPEN_INT","%D_XX,OPEN_INT",PCR,"XX,OPEN_INT","XX,CLOSE","D_XX,CLOSE","XX,VAL_INLAKH",DELIV_PER,"SUM CE,CONTRACTS","SUM PE,CONTRACTS",PCV,"%D_SUM CE,CONTRACTS","%D_SUM PE,CONTRACTS",DAY
AARTIIND,27-Oct-2022,2501550,1271600,-0.1649,-0.0020,-0.2207,0.5083,2110550,791.15,7.5,25604.3," 34.59",13188,5367,0.4070,2.4861,2.2409,Day1
AARTIIND,24-Nov-2022,758200,196350,-0.1656,0.0313,-0.1326,0.2590,639200,791.65,7.850000000000023,3007.87," 34.59",1311,227,0.1732,1.8315,6.5667,Day1
AARTIIND,29-Dec-2022,12750,8500,6.5000,-0.3750,-0.1905,0.6667,14450,792.25,9.25,180.46," 34.59",34,8,0.2353,2.7778,-0.1111,Day1
ABB,27-Oct-2022,279750,134250,-0.0312,0.0550,0.0425,0.4799,1184500,3207.25,2.050000000000182,10087.45," 59.87",1800,500,0.2778,0.1944,0.2376,Day1
ABB,24-Nov-2022,1000,2000,0.3333,0.0000,0.0357,2.0000,36250,3210.8,5.75,842.97," 59.87",3,0,0.0000,0.0000,-1.0000,Day1
ABB,29-Dec-2022,0,0,0.0000,0.0000,0.0000,0.0000,0,3042.05,0,0," 59.87",0,0,0.0000,0.0000,0.0000,Day1
ABBOTINDIA,27-Oct-2022,16760,6040,0.1355,0.0203,0.0124,0.3604,52120,18146.25,-5.799999999999272,3043.24," 44.67",376,94,0.2500,0.7091,0.6786,Day1
ABBOTINDIA,24-Nov-2022,80,0,1.0000,0.0000,0.3143,0.0000,3680,18211.6,-31.75,366.5," 44.67",1,0,0.0000,0.0000,0.0000,Day1
ABBOTINDIA,29-Dec-2022,0,40,0.0000,0.0000,0.0000,0.0000,80,18474.05,0,0," 44.67",0,0,0.0000,0.0000,0.0000,Day1
ABCAPITAL,27-Oct-2022,8353800,5022000,-0.0397,0.0186,0.0101,0.6012,22728600,110.55,0.5999999999999943,4610.4," 29.99",742,184,0.2480,0.7667,0.6140,Day1
ABCAPITAL,24-Nov-2022,297000,216000,0.6176,0.6000,0.7770,0.7273,1420200,111.1,0.6999999999999886,1192.66," 29.99",37,24,0.6486,0.6818,7.0000,Day1
ABCAPITAL,29-Dec-2022,5400,0,0.0000,0.0000,0.0714,0.0000,81000,110.6,-2.0500000000000114,11.94," 29.99",0,0,0.0000,0.0000,0.0000,Day1
ABFRL,27-Oct-2022,4838600,2727400,-0.0864,-0.0358,0.0093,0.5637,7342400,331.8,3.650000000000034,7476.23," 30.97",1374,580,0.4221,-0.2333,0.0265,Day1
ABFRL,24-Nov-2022,85800,130000,0.0645,5.2500,0.0808,1.5152,278200,333.3,3.650000000000034,665.87," 30.97",2,45,22.5000,-0.7143,8.0000,Day1
ABFRL,29-Dec-2022,0,0,0.0000,0.0000,0.0000,0.0000,7800,339.25,0,0," 30.97",0,0,0.0000,0.0000,0.0000,Day1
ACC,27-Oct-2022,3258750,1557750,0.3035,0.7198,0.0246,0.4780,4661750,2270.3,25.300000000000182,106497.64," 20.43",60717,41001,0.6753,4.1126,9.3018,Day1
ACC,24-Nov-2022,23000,35000,1.9677,3.0000,0.9429,1.5217,212750,2280.45,26.75,8174.69," 20.43",123,152,1.2358,7.2000,20.7143,Day1
ACC,29-Dec-2022,0,750,0.0000,0.0000,0.2759,0.0000,9250,2294.5,-6.050000000000182,158.71," 20.43",0,3,0.0000,0.0000,0.0000,Day1
ADANIENT,27-Oct-2022,7462500,5711000,-0.0450,0.0028,-0.0152,0.7653,14424500,3223.5,13.599999999999909,142681.42," 13.84",31210,26091,0.8360,0.2886,0.3564,Day1
ADANIENT,24-Nov-2022,531000,543500,0.4332,0.3176,0.3762,1.0235,589000,3235.15,12.300000000000182,18426.8," 13.84",1264,1091,0.8631,1.3582,0.8429,Day1
ADANIENT,29-Dec-2022,3000,2500,0.0000,4.0000,0.2292,0.8333,59000,3255.35,14.549999999999727,1164.93," 13.84",0,5,0.0000,0.0000,0.0000,Day1
ADANIPORTS,27-Oct-2022,18158750,9213750,-0.0407,-0.0306,-0.0029,0.5074,69155000,787.25,6.399999999999977,57326.22," 19.91",20338,8841,0.4347,-0.1361,-0.1538,Day1
ADANIPORTS,24-Nov-2022,1558750,738750,0.1764,0.1726,0.1925,0.4739,1958750,791.15,6.25,9122.69," 19.91",575,244,0.4243,-0.3757,-0.0317,Day1
ADANIPORTS,29-Dec-2022,5000,11250,0.0000,0.0000,0.1370,2.2500,103750,796,6.899999999999977,436.93," 19.91",0,0,0.0000,-1.0000,-1.0000,Day1
ALKEM,27-Oct-2022,130400,25000,0.1379,0.0000,0.0133,0.1917,335000,3138.5,21.949999999999818,2950.69," 32.41",936,40,0.0427,1.4632,0.5385,Day1
ALKEM,24-Nov-2022,0,200,0.0000,0.0000,0.6364,0.0000,14400,3108.25,24.59999999999991,428.98," 32.41",0,1,0.0000,0.0000,0.0000,Day1
